Date,Open,High,Close,Low,Volume
2000-12-11,1313.7,1333.5,1332.15,1313.7,77519863.0
2000-12-12,1332.2,1341.75,1333.35,1327.6,78396433.0
2000-12-13,1333.8,1360.8,1354.3,1333.8,81303722.0
2000-12-14,1354.45,1369.5,1349.35,1346.15,107922822.0
2000-12-15,1349.25,1349.25,1312.6,1308.15,106556294.0
2000-12-18,1310.15,1321.65,1317.6,1297.2,71852888.0
2000-12-19,1317.75,1325.6,1310.5,1307.0,79675399.0
2000-12-20,1312.8,1313.4,1295.25,1285.45,64915151.0
2000-12-21,1294.25,1294.25,1277.4,1257.1,81444699.0
2000-12-22,1278.95,1292.8,1242.0,1237.3,89709314.0
2000-12-26,1242.05,1248.5,1212.0,1207.95,71777831.0
2000-12-27,1212.15,1239.0,1228.3,1208.75,59260399.0
2000-12-28,1229.35,1253.6,1248.95,1229.35,61894808.0
2000-12-29,1249.0,1265.9,1263.55,1242.25,68269636.0
2001-01-01,1263.5,1276.15,1254.3,1250.65,60533274.0
2001-01-02,1254.25,1279.6,1271.8,1248.55,72271588.0
2001-01-03,1271.8,1293.55,1291.25,1263.95,99079153.0
2001-01-04,1291.3,1331.35,1307.65,1291.3,106441914.0
2001-01-05,1307.55,1330.3,1327.25,1306.25,98830568.0
2001-01-08,1327.35,1334.2,1309.25,1303.35,96096878.0
2001-01-09,1309.2,1323.4,1311.65,1304.9,90810817.0
2001-01-10,1311.65,1324.35,1287.3,1285.3,81319087.0
2001-01-11,1287.5,1296.75,1280.4,1275.95,83103723.0
2001-01-12,1280.45,1298.85,1286.75,1279.4,82041684.0
2001-01-15,1286.85,1295.2,1286.75,1277.85,73889684.0
2001-01-16,1287.0,1302.6,1293.05,1279.85,78828339.0
2001-01-17,1299.4,1312.35,1297.9,1295.3,72314744.0
2001-01-18,1297.95,1309.95,1305.95,1297.95,80942229.0
2001-01-19,1306.0,1333.5,1329.1,1306.0,107078787.0
2001-01-22,1329.3,1351.85,1348.0,1329.3,99483653.0
2001-01-23,1347.95,1362.05,1355.2,1346.5,98006531.0
2001-01-24,1355.35,1371.1,1365.95,1355.35,114566115.0
2001-01-25,1366.05,1374.2,1370.1,1353.5,108877172.0
2001-01-29,1368.55,1368.55,1342.05,1312.1,87201969.0
2001-01-30,1342.1,1382.55,1379.7,1342.05,96518544.0
2001-01-31,1385.85,1396.05,1371.7,1369.0,100053358.0
2001-02-01,1371.5,1373.5,1359.15,1340.95,111146242.0
2001-02-02,1359.1,1384.9,1378.85,1355.3,116258775.0
2001-02-05,1378.8,1392.15,1382.6,1373.45,99313910.0
2001-02-06,1382.7,1395.4,1387.1,1382.7,87855379.0
2001-02-07,1387.3,1391.85,1370.8,1368.05,113028665.0
2001-02-08,1370.65,1396.8,1395.5,1365.05,112780156.0
2001-02-09,1395.55,1416.3,1405.7,1395.55,145053047.0
2001-02-12,1405.7,1416.45,1402.2,1397.6,93541589.0
2001-02-13,1402.2,1412.7,1391.2,1386.65,101737939.0
2001-02-14,1393.15,1396.35,1393.35,1380.65,82940179.0
2001-02-15,1393.35,1421.0,1416.7,1393.35,104604788.0
2001-02-16,1415.85,1422.95,1381.35,1376.15,113023358.0
2001-02-19,1381.4,1392.05,1384.8,1369.45,78672846.0
2001-02-20,1384.85,1392.8,1383.85,1380.4,100052290.0
2001-02-21,1383.9,1389.55,1370.1,1364.25,101078364.0
2001-02-22,1370.05,1370.05,1355.1,1335.65,100049959.0
2001-02-23,1355.1,1362.8,1320.45,1314.1,109210345.0
2001-02-26,1320.9,1325.2,1312.4,1299.05,86950781.0
2001-02-27,1312.45,1324.0,1295.55,1281.9,106024966.0
2001-02-28,1295.3,1362.25,1351.4,1294.6,150441998.0
2001-03-01,1351.75,1399.55,1358.05,1345.05,136400622.0
2001-03-02,1360.25,1386.75,1306.35,1301.8,124763272.0
2001-03-05,1304.85,1316.45,1271.45,1259.1,121535287.0
2001-03-07,1272.8,1311.1,1290.5,1249.45,104381701.0
2001-03-08,1290.85,1307.95,1292.85,1279.3,60218168.0
2001-03-09,1292.7,1292.7,1254.75,1219.35,60117766.0
2001-03-12,1253.25,1253.25,1197.95,1193.95,54093815.0
2001-03-13,1197.85,1201.15,1124.7,1098.75,69137496.0
2001-03-14,1125.15,1200.25,1194.2,1114.6,42822737.0
2001-03-15,1191.6,1219.7,1217.15,1170.7,47034759.0
2001-03-16,1216.9,1233.4,1193.55,1179.6,51146372.0
2001-03-19,1192.85,1201.7,1186.7,1173.15,29195967.0
2001-03-20,1186.8,1193.35,1170.95,1162.35,29316504.0
2001-03-21,1168.8,1212.2,1207.1,1156.15,30172182.0
2001-03-22,1206.45,1218.35,1187.55,1184.95,33692351.0
2001-03-23,1187.6,1196.55,1161.3,1139.65,35578430.0
2001-03-26,1159.85,1165.65,1161.5,1147.5,22757464.0
2001-03-27,1161.6,1182.7,1177.75,1157.25,34348645.0
2001-03-28,1177.55,1209.6,1206.2,1177.55,31734710.0
2001-03-29,1204.9,1210.1,1195.1,1185.0,31581037.0
2001-03-30,1195.05,1195.25,1148.2,1144.65,33959470.0
2001-04-02,1148.1,1148.1,1138.1,1094.35,40163288.0
2001-04-03,1136.65,1153.1,1149.25,1128.1,29797348.0
2001-04-04,1146.1,1146.15,1136.65,1120.35,27091152.0
2001-04-06,1137.55,1171.85,1139.6,1133.05,36171484.0
2001-04-09,1137.6,1138.55,1128.35,1116.1,28396434.0
2001-04-10,1129.1,1129.75,1103.05,1093.05,35199275.0
2001-04-11,1104.9,1116.85,1066.8,1056.1,39177495.0
2001-04-12,1066.75,1066.75,1024.9,1001.8,47079193.0
2001-04-16,1024.0,1049.4,1044.6,1000.1,44790803.0
2001-04-17,1044.85,1072.9,1067.0,1037.7,50797893.0
2001-04-18,1066.5,1106.3,1103.4,1063.05,55976491.0
2001-04-19,1103.6,1159.3,1144.45,1103.6,70684003.0
2001-04-20,1145.75,1156.45,1144.0,1120.6,49354917.0
2001-04-23,1144.05,1162.05,1149.75,1137.3,48547640.0
2001-04-24,1149.6,1149.6,1146.3,1128.4,42006905.0
2001-04-25,1146.5,1162.85,1155.35,1142.3,52927065.0
2001-04-26,1155.4,1170.2,1143.75,1138.85,55932790.0
2001-04-27,1143.65,1143.65,1101.3,1078.1,56498863.0
2001-04-30,1101.45,1127.9,1125.25,1101.45,42750822.0
2001-05-02,1125.45,1150.65,1137.2,1125.25,43257145.0
2001-05-03,1137.15,1139.85,1122.05,1117.7,35696448.0
2001-05-04,1121.45,1131.95,1130.05,1113.65,42006775.0
2001-05-07,1130.05,1145.4,1139.2,1130.05,35261515.0
2001-05-08,1139.25,1151.95,1148.95,1138.2,43301789.0
2001-05-09,1149.9,1164.3,1149.25,1145.25,55608670.0
2001-05-10,1149.1,1151.6,1144.95,1139.25,37684921.0
2001-05-11,1144.1,1146.85,1140.5,1136.9,42033729.0
2001-05-14,1140.45,1146.25,1140.8,1134.05,32675541.0
2001-05-15,1140.75,1147.75,1145.3,1096.25,45135447.0
2001-05-16,1147.1,1163.15,1151.15,1146.05,48486563.0
2001-05-17,1151.2,1179.0,1174.95,1150.6,62568541.0
2001-05-18,1175.0,1187.65,1172.8,1169.2,53432585.0
2001-05-21,1172.95,1182.65,1169.45,1166.7,43127114.0
2001-05-22,1169.5,1176.2,1168.1,1165.65,37282910.0
2001-05-23,1168.25,1181.8,1179.1,1167.0,40537706.0
2001-05-24,1179.1,1190.15,1181.85,1177.55,49236107.0
2001-05-25,1181.95,1188.5,1174.9,1171.35,44045491.0
2001-05-28,1174.95,1194.5,1193.2,1174.45,45583971.0
2001-05-29,1193.25,1202.05,1198.45,1193.25,44863947.0
2001-05-30,1199.5,1207.0,1177.55,1173.75,53458645.0
2001-05-31,1177.5,1177.5,1167.9,1154.9,51326602.0
2001-06-01,1168.1,1175.8,1148.05,1146.9,45591808.0
2001-06-04,1148.0,1154.45,1127.2,1125.35,39210374.0
2001-06-05,1127.15,1130.65,1115.6,1106.8,44902352.0
2001-06-06,1117.5,1132.95,1115.7,1114.0,34916039.0
2001-06-07,1115.05,1116.1,1112.35,1095.45,43845499.0
2001-06-08,1112.45,1128.9,1126.6,1112.45,47213483.0
2001-06-11,1126.55,1134.8,1131.1,1122.35,35437940.0
2001-06-12,1131.05,1133.3,1127.15,1121.8,39272103.0
2001-06-13,1127.1,1132.95,1129.0,1126.9,32960264.0
2001-06-14,1128.95,1128.95,1112.75,1110.15,40353911.0
2001-06-15,1112.7,1112.7,1087.75,1084.2,45840395.0
2001-06-18,1087.75,1087.75,1078.3,1064.4,42081822.0
2001-06-19,1078.25,1099.7,1096.65,1075.45,37831986.0
2001-06-20,1096.35,1100.55,1097.6,1084.7,31013783.0
2001-06-21,1097.9,1102.45,1095.2,1090.25,37933371.0
2001-06-22,1095.85,1097.8,1087.65,1081.3,37679782.0
2001-06-25,1087.1,1087.1,1067.0,1064.4,39750113.0
2001-06-26,1066.4,1099.8,1096.6,1060.05,50432531.0
2001-06-27,1096.6,1102.8,1096.1,1086.75,46770073.0
2001-06-28,1095.85,1101.0,1094.0,1090.2,31053307.0
2001-06-29,1094.05,1114.35,1107.9,1091.05,39500902.0
2001-07-02,1108.35,1119.55,1100.75,1097.95,18076084.0
2001-07-03,1097.4,1097.4,1069.8,1066.05,30622828.0
2001-07-04,1068.05,1074.6,1067.95,1062.2,26706623.0
2001-07-05,1068.35,1079.35,1069.75,1066.95,27267379.0
2001-07-06,1069.15,1069.15,1065.1,1059.6,23382015.0
2001-07-09,1064.8,1064.8,1059.5,1052.1,18018743.0
2001-07-10,1059.95,1078.1,1072.05,1059.25,21876937.0
2001-07-11,1072.15,1088.5,1083.65,1068.35,24685120.0
2001-07-12,1083.8,1109.0,1105.5,1083.8,37170474.0
2001-07-13,1105.7,1127.15,1110.45,1103.3,39255312.0
2001-07-16,1110.35,1116.7,1105.55,1102.45,28105463.0
2001-07-17,1103.55,1106.05,1103.1,1092.5,23685095.0
2001-07-18,1103.1,1108.45,1091.95,1088.1,26611850.0
2001-07-19,1091.35,1091.35,1085.9,1079.55,29236416.0
2001-07-20,1085.95,1089.95,1077.7,1072.75,28964869.0
2001-07-23,1076.15,1076.15,1070.65,1063.4,1394931.0
2001-07-24,1065.95,1074.75,1072.55,1064.5,22139911.0
2001-07-25,1072.45,1073.95,1064.2,1062.15,27922213.0
2001-07-26,1063.9,1066.55,1053.4,1050.15,32443885.0
2001-07-27,1053.2,1061.2,1051.7,1046.9,28239132.0
2001-07-30,1051.45,1062.8,1061.45,1050.9,26457025.0
2001-07-31,1061.45,1076.35,1072.85,1053.6,34607069.0
2001-08-01,1073.0,1077.7,1063.15,1059.75,53427200.0
2001-08-02,1064.25,1070.05,1066.0,1059.55,43294501.0
2001-08-03,1066.4,1077.55,1074.6,1066.2,43832220.0
2001-08-06,1074.2,1082.4,1075.25,1072.55,37036989.0
2001-08-07,1074.35,1079.3,1072.1,1070.2,26869345.0
2001-08-08,1071.75,1072.1,1068.0,1059.55,28799186.0
2001-08-09,1068.1,1072.6,1070.65,1061.4,26832655.0
2001-08-10,1070.65,1076.7,1071.15,1069.05,25904867.0
2001-08-13,1070.95,1081.4,1063.0,1061.05,21608532.0
2001-08-14,1063.05,1076.6,1075.5,1062.2,42862979.0
2001-08-16,1075.2,1083.7,1078.95,1072.95,48317102.0
2001-08-17,1079.0,1084.0,1069.2,1067.6,51086895.0
2001-08-20,1062.5,1067.95,1063.75,1061.0,30726001.0
2001-08-21,1063.65,1071.2,1068.7,1062.3,34638057.0
2001-08-23,1068.7,1079.0,1071.5,1065.7,29660741.0
2001-08-24,1071.5,1076.7,1069.15,1064.9,42200669.0
2001-08-27,1064.05,1078.35,1072.55,1064.05,35798530.0
2001-08-28,1072.35,1076.85,1070.65,1069.6,31745448.0
2001-08-29,1070.55,1074.5,1067.45,1066.45,28191743.0
2001-08-30,1068.3,1070.25,1064.15,1061.9,38781188.0
2001-08-31,1064.1,1064.1,1053.75,1051.75,34365231.0
2001-09-03,1054.65,1059.9,1048.05,1046.35,29925067.0
2001-09-04,1048.2,1053.25,1048.2,1043.3,39738793.0
2001-09-05,1047.25,1051.55,1045.0,1043.3,35505602.0
2001-09-06,1047.7,1048.2,1036.1,1033.4,47387436.0
2001-09-07,1036.35,1037.35,1035.2,1026.45,49214540.0
